exp	round_num	agentid	currname	saidbefore	heardbefore	denovo	saidsofar	heardsofar
CB2015-55	7	294	jane	1	1	0	['jane', 'jane', 'jane', 'susan', 'jane', 'jane', 'rachel']	['na', 'ktee', 'jane', 'jane', 'rachel', 'rachel', 'jane']
CB2015-55	8	294	rachel	1	1	0	['jane', 'jane', 'jane', 'susan', 'jane', 'jane', 'rachel', 'jane']	['na', 'ktee', 'jane', 'jane', 'rachel', 'rachel', 'jane', 'jane']
CB2015-55	9	294	jane	1	1	0	['jane', 'jane', 'jane', 'susan', 'jane', 'jane', 'rachel', 'jane', 'rachel']	['na', 'ktee', 'jane', 'jane', 'rachel', 'rachel', 'jane', 'jane', 'jane']
CB2015-55	10	294	rachel	1	1	0	['jane', 'jane', 'jane', 'susan', 'jane', 'jane', 'rachel', 'jane', 'rachel', 'jane']	['na', 'ktee', 'jane', 'jane', 'rachel', 'rachel', 'jane', 'jane', 'jane', 'nicole']
CB2015-55	11	294	jane	1	1	0	['jane', 'jane', 'jane', 'susan', 'jane', 'jane', 'rachel', 'jane', 'rachel', 'jane', 'rachel']	['na', 'ktee', 'jane', 'jane', 'rachel', 'rachel', 'jane', 'jane', 'jane', 'nicole', 'na']
CB2015-55	1	301	sarah	0	0	1	['na']	['katie']
CB2015-55	2	301	jennifer	0	0	1	['na', 'sarah']	['katie', 'emily']
CB2015-55	3	301	sarah	1	1	0	['na', 'sarah', 'jennifer']	['katie', 'emily', 'sarah']
CB2015-55	4	301	kate	0	0	1	['na', 'sarah', 'jennifer', 'sarah']	['katie', 'emily', 'sarah', 'michelle']
CB2015-55	5	301	anna	0	0	1	['na', 'sarah', 'jennifer', 'sarah', 'kate']	['katie', 'emily', 'sarah', 'michelle', 'lisa']
CB2015-55	6	301	sarah	1	1	0	['na', 'sarah', 'jennifer', 'sarah', 'kate', 'anna']	['katie', 'emily', 'sarah', 'michelle', 'lisa', 'sarah']
CB2015-55	9	301	anna	1	0	0	['na', 'sarah', 'jennifer', 'sarah', 'kate', 'anna', 'sarah', 'sarah', 'sarah']	['katie', 'emily', 'sarah', 'michelle', 'lisa', 'sarah', 'julia', 'mary', 'julia']
CB2015-55	10	301	julia	0	1	0	['na', 'sarah', 'jennifer', 'sarah', 'kate', 'anna', 'sarah', 'sarah', 'sarah', 'anna']	['katie', 'emily', 'sarah', 'michelle', 'lisa', 'sarah', 'julia', 'mary', 'julia', 'julia']
CB2015-55	12	301	sarah	1	1	0	['na', 'sarah', 'jennifer', 'sarah', 'kate', 'anna', 'sarah', 'sarah', 'sarah', 'anna', 'julia', 'julia']	['katie', 'emily', 'sarah', 'michelle', 'lisa', 'sarah', 'julia', 'mary', 'julia', 'julia', 'lisa', 'sarah']
CB2015-55	15	301	julia	1	1	0	['na', 'sarah', 'jennifer', 'sarah', 'kate', 'anna', 'sarah', 'sarah', 'sarah', 'anna', 'julia', 'julia', 'sarah', 'sarah', 'sarah']	['katie', 'emily', 'sarah', 'michelle', 'lisa', 'sarah', 'julia', 'mary', 'julia', 'julia', 'lisa', 'sarah', 'sarah', 'sarah', 'lisa']
CB2015-55	16	301	sarah	1	1	0	['na', 'sarah', 'jennifer', 'sarah', 'kate', 'anna', 'sarah', 'sarah', 'sarah', 'anna', 'julia', 'julia', 'sarah', 'sarah', 'sarah', 'julia']	['katie', 'emily', 'sarah', 'michelle', 'lisa', 'sarah', 'julia', 'mary', 'julia', 'julia', 'lisa', 'sarah', 'sarah', 'sarah', 'lisa', 'sarah']
CB2015-55	20	301	lisa	0	1	0	['na', 'sarah', 'jennifer', 'sarah', 'kate', 'anna', 'sarah', 'sarah', 'sarah', 'anna', 'julia', 'julia', 'sarah', 'sarah', 'sarah', 'julia', 'sarah', 'sarah', 'sarah', 'sarah']	['katie', 'emily', 'sarah', 'michelle', 'lisa', 'sarah', 'julia', 'mary', 'julia', 'julia', 'lisa', 'sarah', 'sarah', 'sarah', 'lisa', 'sarah', 'lisa', 'lisa', 'sarah', 'julia']
